Date,Hostname (temp.),Hostname (Final),Success,Correct Hostname
12.06.2023 09:57:57:907 ,ce-esx-fra16-5106-17-DSSC,ce-esx-fra16-5106-17,Yes,ce-esx-fra16-5106-17
12.06.2023 09:57:57:916 ,DOP-ESX-IXN026-DSSC,OP-ESX-IXN026,No,DOP-ESX-IXN026
12.06.2023 09:57:57:928 ,DOP-ESX-CYO024-DSSC,OP-ESX-CYO024,No,DOP-ESX-CYO024
12.06.2023 09:57:57:937 ,DOP-ESX-IXN028-DSSC,OP-ESX-IXN028,No,DOP-ESX-IXN028
12.06.2023 09:57:57:947 ,DOP-ESX-CYO036-DSSC,OP-ESX-CYO036,No,DOP-ESX-CYO036
12.06.2023 09:57:57:961 ,DOP-ESX-CYO043-DSSC,OP-ESX-CYO043,No,DOP-ESX-CYO043
12.06.2023 09:57:57:973 ,DOP-ESX-IXN033-DSSC,OP-ESX-IXN033,No,DOP-ESX-IXN033
12.06.2023 09:57:57:986 ,DOP-ESX-IXN031-DSSC,OP-ESX-IXN031,No,DOP-ESX-IXN031
12.06.2023 09:57:58:003 ,ce-esx-08-DSSC,ce-esx-08,Yes,ce-esx-08
12.06.2023 09:57:58:014 ,orarac02p-DSSC,orarac02p,Yes,orarac02p
12.06.2023 09:57:58:024 ,orarac02i-DSSC,orarac02i,Yes,orarac02i
12.06.2023 09:57:58:034 ,DOP-ESX-CYO020-DSSC,OP-ESX-CYO020,No,DOP-ESX-CYO020
12.06.2023 09:57:58:045 ,senauto01-DSSC,senauto01,Yes,senauto01
12.06.2023 09:57:58:055 ,ce-esx-ze-aw32-06-DSSC,ce-esx-ze-aw32-06,Yes,ce-esx-ze-aw32-06
12.06.2023 09:57:58:071 ,DOP-ESX-CYO012-DSSC,OP-ESX-CYO012,No,DOP-ESX-CYO012
12.06.2023 09:57:58:081 ,GTD-ESX-CYO001-DSSC,GTD-ESX-CYO001,Yes,GTD-ESX-CYO001
12.06.2023 09:57:58:095 ,DOP-ESX-IXN047-DSSC,OP-ESX-IXN047,No,DOP-ESX-IXN047
12.06.2023 09:57:58:107 ,DOP-ESX-IXN009-DSSC,OP-ESX-IXN009,No,DOP-ESX-IXN009
12.06.2023 09:57:58:119 ,ce-esx-ze-as32-07-DSSC,ce-esx-ze-as32-07,Yes,ce-esx-ze-as32-07
12.06.2023 09:57:58:130 ,SIN-ESX-CYO01-DSSC,IN-ESX-CYO01,No,SIN-ESX-CYO01
12.06.2023 09:57:58:142 ,DOP-ESX-CYO047,,N/A,DOP-ESX-CYO047
12.06.2023 09:57:58:153 ,DOP-ESX-CYO030-DSSC,OP-ESX-CYO030,No,DOP-ESX-CYO030
12.06.2023 09:57:58:165 ,ce-esx-ze-aw32-05-DSSC,ce-esx-ze-aw32-05,Yes,ce-esx-ze-aw32-05
12.06.2023 09:57:58:178 ,ce-bkp-fra3-0103-01,,N/A,ce-bkp-fra3-0103-01
12.06.2023 09:57:58:190 ,ce-esx-fra16-5106-04,,N/A,ce-esx-fra16-5106-04
12.06.2023 09:57:58:202 ,ce-esx-ze-as36-06-new,,N/A,ce-esx-ze-as36-06-new
12.06.2023 09:57:58:216 ,orarac03p-DSSC,orarac03p,Yes,orarac03p
12.06.2023 09:57:58:227 ,DOP-ESX-CYO045-DSSC,OP-ESX-CYO045,No,DOP-ESX-CYO045
12.06.2023 09:57:58:240 ,DOP-ESX-IXN045-new,,N/A,DOP-ESX-IXN045-new
12.06.2023 09:57:58:252 ,ce-esx-fra16-5105-12-DSSC,ce-esx-fra16-5105-12,Yes,ce-esx-fra16-5105-12
12.06.2023 09:57:58:262 ,DOP-ESX-CYO022-DSSC,OP-ESX-CYO022,No,DOP-ESX-CYO022
12.06.2023 09:57:58:274 ,dop-esx-lev012,,N/A,dop-esx-lev012
12.06.2023 09:57:58:289 ,ce-esx-ze-aw32-11-DSSC,ce-esx-ze-aw32-11,Yes,ce-esx-ze-aw32-11
12.06.2023 09:57:58:302 ,ce-esx-fra16-5106-14-DSSC,ce-esx-fra16-5106-14,Yes,ce-esx-fra16-5106-14
12.06.2023 09:57:58:316 ,ce-esx-fra16-5105-17-DSSC,ce-esx-fra16-5105-17,Yes,ce-esx-fra16-5105-17
12.06.2023 09:57:58:329 ,ce-esx-ze-as32-03-DSSC,ce-esx-ze-as32-03,Yes,ce-esx-ze-as32-03
12.06.2023 09:57:58:340 ,ce-esx-22-DSSC,ce-esx-22,Yes,ce-esx-22
12.06.2023 09:57:58:351 ,DOP-ESX-CYO014-new,,N/A,DOP-ESX-CYO014-new
12.06.2023 09:57:58:365 ,ce-esx-ze-aw29-02-DSSC,ce-esx-ze-aw29-02,Yes,ce-esx-ze-aw29-02
12.06.2023 09:57:58:377 ,DOP-ESX-CYO032-DSSC,OP-ESX-CYO032,No,DOP-ESX-CYO032
12.06.2023 09:57:58:390 ,ce-esx-20-DSSC,ce-esx-20,Yes,ce-esx-20
12.06.2023 09:57:58:402 ,ce-esx-29-DSSC,ce-esx-29,Yes,ce-esx-29
12.06.2023 09:57:58:413 ,DOP-ESX-CYO052,,N/A,DOP-ESX-CYO052
12.06.2023 09:57:58:423 ,ce-bkp-ze-aw29-01,,N/A,ce-bkp-ze-aw29-01
12.06.2023 09:57:58:435 ,ce-esx-fra16-5106-06-DSSC,ce-esx-fra16-5106-06,Yes,ce-esx-fra16-5106-06
12.06.2023 09:57:58:447 ,DOP-ESX-IXN016-DSSC,OP-ESX-IXN016,No,DOP-ESX-IXN016
12.06.2023 09:57:58:457 ,DOP-ESX-IXN010-DSSC,OP-ESX-IXN010,No,DOP-ESX-IXN010
12.06.2023 09:57:58:470 ,DOP-ESX-IXN019-DSSC,OP-ESX-IXN019,No,DOP-ESX-IXN019
12.06.2023 09:57:58:483 ,ce-esx-fra16-5106-08-DSSC,ce-esx-fra16-5106-08,Yes,ce-esx-fra16-5106-08
12.06.2023 09:57:58:498 ," DOP-ESX-IXN049					",,N/A," DOP-ESX-IXN049					"
12.06.2023 09:57:58:512 ,ce-esx-09-DSSC,ce-esx-09,Yes,ce-esx-09
12.06.2023 09:57:58:529 ,DLR-ESX-CYO01-DSSC,LR-ESX-CYO01,No,DLR-ESX-CYO01
12.06.2023 09:57:58:545 ,DOP-ESX-IXN044-DSSC,OP-ESX-IXN044,No,DOP-ESX-IXN044
12.06.2023 09:57:58:556 ,DOP-BCK-CYO002-new,,N/A,DOP-BCK-CYO002-new
12.06.2023 09:57:58:567 ,DOP-ESX-CYO028-DSSC,OP-ESX-CYO028,No,DOP-ESX-CYO028
12.06.2023 09:57:58:580 ,dop-esx-lev013,,N/A,dop-esx-lev013
12.06.2023 09:57:58:590 ,DOP-ESX-CYO009-DSSC,OP-ESX-CYO009,No,DOP-ESX-CYO009
12.06.2023 09:57:58:602 ,DOP-ESX-IXN006-new,,N/A,DOP-ESX-IXN006-new
12.06.2023 09:57:58:613 ,DOP-ESX-IXN011-DSSC,OP-ESX-IXN011,No,DOP-ESX-IXN011
12.06.2023 09:57:58:624 ,GTD-ESX-IXN003-DSSC,GTD-ESX-IXN003,Yes,GTD-ESX-IXN003
12.06.2023 09:57:58:636 ,DOP-ESX-CYO050,,N/A,DOP-ESX-CYO050
12.06.2023 09:57:58:649 ,ce-esx-fra16-5105-16-DSSC,ce-esx-fra16-5105-16,Yes,ce-esx-fra16-5105-16
12.06.2023 09:57:58:661 ,ce-esx-31-DSSC,ce-esx-31,Yes,ce-esx-31
12.06.2023 09:57:58:673 ,ce-esx-ze-as36-02-DSSC,ce-esx-ze-as36-02,Yes,ce-esx-ze-as36-02
